buffer_id,H_mean,LE_mean
1,2.823230607,1.278583971
2,2.551628,1.594301867
3,2.512924349,1.638172054
4,2.475072216,1.701726149
5,2.52028878,1.690456859
6,2.506869143,1.700483252
7,2.531184316,1.67879183
8,2.576730711,1.647887856
9,2.540116994,1.660144651
10,2.526323293,1.654353623
11,2.543680878,1.650908012
12,2.550657998,1.636353915
13,2.537434641,1.651897211
14,2.538447042,1.654389729
15,2.456555843,1.706707716
16,2.511881399,1.687189937
17,2.560245991,1.707535148
18,2.652251909,1.523689788
19,2.834997399,1.307484011
20,2.417795238,1.720173048
21,2.322166148,1.842098638
22,2.334069374,1.882023084
23,2.336364291,1.912547209
24,2.382412774,1.872660596
25,2.376112085,1.858661117
26,2.401683496,1.856859439
27,2.411857934,1.862171005
28,2.450858372,1.85071622
29,2.450154543,1.862508977
30,2.461401999,1.860614672
31,2.458009284,1.838350814
32,2.452097038,1.82250078
33,2.487892693,1.809309309
34,2.486607742,1.818315148
35,2.473899274,1.818159973
36,2.488975811,1.813312729
37,2.520213791,1.79515825
38,2.513814385,1.821728248
39,2.552219164,1.809374386
40,2.520718253,1.795483594
41,2.504232675,1.82704436
42,2.478805705,1.856252971
43,2.457597628,1.880630851
44,2.430740578,1.969017088
45,2.388765053,1.993407813
46,2.353776544,1.993960112
47,2.317135286,1.995586085
48,2.290967782,2.067885081
49,2.254362106,2.132180691
50,2.578222791,1.550588278
51,2.785397445,1.415946965
52,2.363210138,1.999858905
53,2.311857027,2.065024905
54,2.252277833,2.134040422
55,2.188372453,2.144779623
56,2.15902463,2.174728166
57,2.12637244,2.180461361
58,2.137504843,2.169614242
59,2.133795738,2.142255312
60,2.147142668,2.114732196
61,2.131685686,2.152621182
62,2.11535474,2.158707692
63,2.123668989,2.137847245
64,2.158645739,2.100548804
65,2.182240115,2.062374499
66,2.225811852,2.037218571
67,2.358321385,1.955047575
68,2.423706651,1.937710077
69,2.454149008,1.849171847
70,2.444025278,1.767044485
72,2.46255815,1.844441825
