date_ID,date,ta_mean,rainfall_mm,t_max,t_min
1,1/11/2022,9.258333333,2.8,14.3,7.7
2,2/11/2022,9.708333333,1.8,14.9,5.1
3,3/11/2022,11.29583333,1.2,14.7,7.7
4,4/11/2022,12.3375,0,18.3,5.6
5,5/11/2022,15.9875,0,23.5,11.2
6,6/11/2022,18.04583333,0,26.3,9.3
7,7/11/2022,18.95416667,0,26,10.6
8,8/11/2022,19.2625,0,27.8,12.9
9,9/11/2022,21.4875,5.2,28.3,14.3
10,10/11/2022,19.85,0,24.4,17.3
11,11/11/2022,17.275,3.2,20.5,15.2
12,12/11/2022,15.22083333,1,20.2,12.8
13,13/11/2022,18.99166667,5.4,24.8,13.7
14,14/11/2022,14.12916667,3.6,17.9,12
15,15/11/2022,8.683333333,8.6,12.7,6.9
16,16/11/2022,8.7375,5,13.5,4.7
17,17/11/2022,11.21666667,2,16.5,7.8
18,18/11/2022,14.325,0.8,23.5,4.4
19,19/11/2022,16.9125,0,20,12.2
20,20/11/2022,13.825,22.2,19.7,10.2
21,21/11/2022,9.095833333,3.4,13.6,7.2
22,22/11/2022,12.17916667,7,18.2,5.5
23,23/11/2022,13.82083333,0.4,17.6,10.3
24,24/11/2022,14.17916667,0,19.6,11.8
25,25/11/2022,14.74583333,0,21.3,8.9
26,26/11/2022,18.09166667,0,27,9.1
27,27/11/2022,15.36666667,0.6,20.9,11.6
28,28/11/2022,12.9,0.6,18.1,6.4
29,29/11/2022,14.22916667,0,18.8,10.7
30,30/11/2022,14.225,0,19.1,9.3
31,1/12/2022,14.79166667,0.4,18.9,12.2
32,2/12/2022,15.86666667,0,24.3,7.6
33,3/12/2022,21.4625,0,30.7,12.4
34,4/12/2022,25.38333333,0,33.8,14.7
35,5/12/2022,16.35,0,18.8,14.7
36,6/12/2022,15.22916667,1.2,20.7,11.2
37,7/12/2022,14.35,0,20.2,10.5
38,8/12/2022,11.19166667,0,16.3,6.8
39,9/12/2022,12.425,0.2,17.2,7.6
40,10/12/2022,15.99166667,0,26.7,5.2
41,11/12/2022,19.38333333,0,28.6,13.5
42,12/12/2022,12.975,13.2,17.1,10.9
43,13/12/2022,12.125,5.6,18.4,8.7
44,14/12/2022,11.10416667,6.8,16.1,6.8
45,15/12/2022,12.17083333,5,16.5,9.4
46,16/12/2022,14.4125,1.2,19.1,10.5
47,17/12/2022,15.48333333,0,21.9,7.9
48,18/12/2022,15.75833333,0,23,7.6
49,19/12/2022,16.79583333,0,24.8,8.4
50,20/12/2022,17.7875,0,27.4,8.1
51,21/12/2022,19.925,0,28.6,10.7
52,22/12/2022,18.73333333,4,25.6,15.5
53,23/12/2022,18.07916667,56.6,24.2,12.8
54,24/12/2022,18.2125,0,25,15.1
55,25/12/2022,21.35833333,0,32.2,10.8
56,26/12/2022,22.60833333,0,32.8,14.4
57,27/12/2022,27.44166667,0,36.7,16.6
58,28/12/2022,21.62916667,0,26.1,25.1
59,29/12/2022,15.51666667,0,18.6,13.2
60,30/12/2022,19.93333333,0,28.4,13.9
61,31/12/2022,21.975,0,29.6,15.7
62,1/01/2023,26.12916667,0,35.1,16.1
63,2/01/2023,24.52083333,0,32,23.8
64,3/01/2023,16.70833333,0.4,21.2,14.3
65,4/01/2023,14.725,0,17.9,13.3
66,5/01/2023,17.1125,2.2,21.9,13
67,6/01/2023,18.05416667,0,25.5,9.6
68,7/01/2023,21.00833333,0,30.2,11.4
69,8/01/2023,23.18541667,0,31.8,12.6
70,9/01/2023,21.57916667,0,28.6,18.1
71,10/01/2023,18.5,0,24,15.8
72,11/01/2023,22.54166667,0,33.5,14.3
73,12/01/2023,20.30833333,0,26.7,16.8
74,13/01/2023,20.94583333,0,27,17.8
75,14/01/2023,27.2125,0,37.4,18.8
76,15/01/2023,18.14375,0.6,20.2,16
77,16/01/2023,19.7375,0,27.7,14.5
78,17/01/2023,27.37083333,0,37,16.6
79,18/01/2023,17.50833333,4.4,18.6,18.5
80,19/01/2023,14.52083333,3.2,18.9,10.6
81,20/01/2023,17.32916667,0,22.9,14.4
82,21/01/2023,18.0375,0,25.9,12.1
83,22/01/2023,19.80833333,0,25.2,16.4
84,23/01/2023,21.175,0,28.3,14.8
85,24/01/2023,20.7875,0,28.2,15.1
86,25/01/2023,22.05625,0.4,32.4,15.3
87,26/01/2023,17.85833333,0,23.3,13
88,27/01/2023,19.36666667,0,28.9,10.2
89,28/01/2023,23.67083333,0,34.9,13.3
90,29/01/2023,19.74583333,0.2,23.9,18
91,30/01/2023,18.4,0,21.9,17
92,31/01/2023,18.34166667,0,23.6,14.9
