Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name,source_file
﻿20221030mswk6okz7ae65f7oyyb96sptcr,432846061,144.8321991,-37.66540146,30/10/2022 0:50,17.2,,8.4,,,6.7,17.9,,,,1007.7,,56,0.0,0.0,,15.0,22.5,20.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_oct.csv,00_ma_oct.csv
20221030bics7tkz6he65f71yyb96sc5ar,432846061,144.8321991,-37.66540146,30/10/2022 1:50,17.9,,7.9,,,6.7,18.6,,,,1006.5,,52,0.0,0.0,,17.0,0.0,24.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_oct.csv,00_ma_oct.csv
20221030bqu5qonz9he65f7oyyb96sptcr,432846061,144.8321991,-37.66540146,30/10/2022 2:50,18.7,,8.9,,,6.7,19.2,,,,1005.5,,53,0.0,0.0,,19.0,22.5,26.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_oct.csv,00_ma_oct.csv
20221030pfsdcnnayhe65f7oyyb96sptcr,432846061,144.8321991,-37.66540146,30/10/2022 3:50,19.4,,9.3,,,6.7,20.2,,,,1004.1,,52,0.0,0.0,,19.0,22.5,28.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_oct.csv,00_ma_oct.csv
202210305cznc81abhe65f71yyb96sc5ar,432846061,144.8321991,-37.66540146,30/10/2022 4:50,19.4,,9.0,,,6.7,20.2,,,,1002.7,,51,0.0,0.0,,19.0,22.5,29.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_oct.csv,00_ma_oct.csv
202210308a75a8nadye65f71yyb96sc5ar,432846061,144.8321991,-37.66540146,30/10/2022 5:50,19.6,,9.8,,,6.7,20.4,,,,1002.0,,53,0.0,0.0,,23.0,22.5,30.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_oct.csv,00_ma_oct.csv
20221030i1eiw9narye65f71yyb96sc5ar,432846061,144.8321991,-37.66540146,30/10/2022 6:50,17.6,,10.0,,,6.7,20.4,,,,1000.7,,61,0.0,0.0,,20.0,22.5,31.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_oct.csv,00_ma_oct.csv
202210306zrnikkafye65f71yyb96sc5ar,432846061,144.8321991,-37.66540146,30/10/2022 7:50,17.6,,10.2,,,17.5,20.4,,,,999.8,,62,0.0,0.0,,21.0,22.5,35.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_oct.csv,00_ma_oct.csv
20221030p7ei8a4agre65f7oyyb96sptcr,432846061,144.8321991,-37.66540146,30/10/2022 8:50,17.5,,9.9,,,17.3,20.4,,,,999.3,,61,0.0,0.0,,22.0,22.5,35.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_oct.csv,00_ma_oct.csv
2022103057sbobka8re65f7oyyb96sptcr,432846061,144.8321991,-37.66540146,30/10/2022 9:50,16.6,,10.5,,,16.5,20.4,,,,997.3,,67,0.0,0.0,,26.0,22.5,37.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_oct.csv,00_ma_oct.csv
