buffer_id,buffer_no,distance,direction,lst_mean
1,0,0.0,345,36.59132457583333
2,0,0.0,315,36.59132457583333
3,0,0.0,285,36.59132457583333
4,1,0.5,345,33.6264200367
5,2,1.0,345,33.3490580894
6,3,1.5,345,32.81348011
7,5,2.5,345,32.8470348075
8,6,3.0,345,33.2368416637
9,7,3.5,345,32.6069877467
10,8,4.0,345,32.4012287627
11,9,4.5,345,32.9203315607
12,10,5.0,345,32.9607626462
13,11,5.5,345,33.0167427442
14,12,6.0,345,33.6301722433
15,13,6.5,345,33.1080104665
16,14,7.0,345,32.3003188215
17,15,7.5,345,32.6199754491
18,16,8.0,345,33.5462505122
19,17,8.5,345,33.7227402039
20,18,9.0,345,34.3164593117
21,19,9.5,345,34.1469854572
22,20,10.0,345,34.6365623902
23,21,10.5,345,34.7534192105
24,22,11.0,345,35.3940780785
25,23,11.5,345,37.6868142471
27,1,0.5,315,35.0661967179
28,1,0.5,285,37.0485586526
29,2,1.0,285,36.7801674831
30,2,1.0,315,34.8805671636
31,3,1.5,285,36.386581846
32,3,1.5,315,35.0819185721
33,4,2.0,315,34.6831771115
34,5,2.5,285,36.5032616182
35,5,2.5,315,34.7711139042
36,6,3.0,285,36.4461505242
37,6,3.0,315,34.9162041739
38,7,3.5,285,36.731494897
39,7,3.5,315,35.1709684565
40,8,4.0,285,37.0460307226
41,8,4.0,315,35.3704884624
42,9,4.5,285,36.7628205103
43,9,4.5,315,35.5407157716
44,10,5.0,285,36.8569137796
45,10,5.0,315,35.7954901629
46,11,5.5,285,36.7538470289
47,11,5.5,315,36.2536747551
48,12,6.0,285,37.2754406105
49,12,6.0,315,35.9086982201
50,13,6.5,285,37.5293686576
51,13,6.5,315,35.2775054603
52,14,7.0,285,37.8156668936
53,14,7.0,315,35.6487316931
54,15,7.5,285,37.1483373965
55,15,7.5,315,36.0154124612
56,16,8.0,285,37.4550463342
57,16,8.0,315,35.5539014162
58,17,8.5,285,38.2805252167
59,17,8.5,315,36.2076614529
60,18,9.0,285,39.4432934816
61,18,9.0,315,35.9561772417
62,19,9.5,315,36.245846976
63,20,10.0,315,36.4547599715
64,21,10.5,315,36.1798921953
65,22,11.0,315,35.8979371288
66,23,11.5,315,35.8373124593
67,24,12.0,315,35.4358818435
68,25,12.5,315,35.0519848491
69,26,13.0,315,34.6139621816
70,27,13.5,315,34.8857186798
71,28,14.0,315,35.4562068961
72,29,14.5,315,35.1490051697
73,30,15.0,315,35.0428975557
74,31,15.5,315,33.8527518289
75,32,16.0,315,34.2063592701
77,4,2.0,285,36.3603299433
77,4,2.0,285,36.3603299433
78,4,2.0,345,32.8438538629
