buffer_id,buffer_no,distance,direction,lst_mean
1,13.0,6.5,315,18.040422532
2,14.0,7.0,315,18.108813379
3,16.0,8.0,315,18.0250670857
4,17.0,8.5,315,18.2797860729
5,18.0,9.0,315,18.2859218383
6,19.0,9.5,315,18.29284024
7,20.0,10.0,315,18.4993418145
8,21.0,10.5,315,18.5743197139
9,22.0,11.0,315,18.3823510732
10,23.0,11.5,315,18.5395940054
11,24.0,12.0,315,18.3883880714
12,25.0,12.5,315,18.2428828372
13,26.0,13.0,315,17.9277274115
14,27.0,13.5,315,17.9763582536
15,28.0,14.0,315,18.0570364819
16,29.0,14.5,315,17.4496169296
17,30.0,15.0,315,17.2317467149
18,31.0,15.5,315,17.2404249839
19,32.0,16.0,315,18.7158137094
20,1.0,0.5,315,19.5482842486
21,2.0,1.0,315,19.0693892874
22,3.0,1.5,315,18.9199569104
23,4.0,2.0,315,18.6789700575
24,5.0,2.5,315,18.5512035256
25,6.0,3.0,315,18.5221805108
26,7.0,3.5,315,18.6349890887
27,8.0,4.0,315,18.411598146
28,9.0,4.5,315,18.259378517
29,10.0,5.0,315,18.4278075637
30,11.0,5.5,315,18.5851334181
31,12.0,6.0,315,18.3537854763
32,15.0,7.5,315,17.9838342749
33,1.0,0.5,225,23.0043861663
34,1.0,0.5,255,20.0067286319
35,1.0,0.5,255,19.8760739699
36,2.0,1.0,255,20.8999198265
37,2.0,1.0,255,19.6281770151
38,3.0,1.5,255,19.2886269615
39,4.0,2.0,255,18.6581031591
40,5.0,2.5,255,18.2419624062
42,6.0,3.0,255,18.4850142278
43,7.0,3.5,255,18.5098192711
44,13.0,6.5,345,17.3876272403
45,14.0,7.0,345,17.0958503447
46,16.0,8.0,345,17.2601926131
47,17.0,8.5,345,17.362937809
48,18.0,9.0,345,17.5738629273
49,19.0,9.5,345,17.8357842417
50,20.0,10.0,345,17.8891426962
51,21.0,10.5,345,17.5282973426
52,22.0,11.0,345,17.949666438
53,23.0,11.5,345,19.1750328782
54,1.0,0.5,345,19.2708347118
55,2.0,1.0,345,18.8168410919
56,2.0,1.0,345,17.0528093777
57,3.0,1.5,345,18.4192598706
58,4.0,2.0,345,18.3130844667
59,5.0,2.5,345,18.3261809391
60,6.0,3.0,345,18.2632184981
61,7.0,3.5,345,17.8866135736
62,8.0,4.0,345,17.6421954148
63,9.0,4.5,345,17.4965811561
64,10.0,5.0,345,17.5082180786
65,11.0,5.5,345,17.4900648254
66,12.0,6.0,345,17.5270256259
67,15.0,7.5,345,16.9417239929
68,1.0,0.5,15,18.4189055255
69,2.0,1.0,15,19.4687377139
70,2.0,1.0,15,18.0082912928
71,3.0,1.5,15,17.8334840799
72,4.0,2.0,15,17.6454234719
73,5.0,2.5,15,17.409084678
74,6.0,3.0,15,17.3804147524
75,7.0,3.5,15,16.8707587182
76,13.0,6.5,285,17.543839225
77,14.0,7.0,285,17.272779527
78,16.0,8.0,285,16.9797052898
79,17.0,8.5,285,17.5209484947
80,18.0,9.0,285,17.9244448209
82,1.0,0.5,285,19.0666341741
83,1.0,0.5,285,19.2152413836
84,1.0,0.5,285,19.2034150234
85,2.0,1.0,285,18.8349588803
86,3.0,1.5,285,18.6667638977
87,4.0,2.0,285,18.7948715573
88,5.0,2.5,285,18.6899204521
89,6.0,3.0,285,18.6070419327
90,7.0,3.5,285,18.2292430973
91,8.0,4.0,285,18.0362570443
92,9.0,4.5,285,17.8376965658
93,10.0,5.0,285,17.6517192768
94,11.0,5.5,285,17.5121815892
95,12.0,6.0,285,17.5127558293
97,15.0,7.5,285,17.1309056467
98,1.0,0.5,45,21.1888345087
99,1.0,0.5,45,19.7875068492
100,2.0,1.0,45,19.3049183978
101,2.0,1.0,45,19.6181564817
102,3.0,1.5,45,19.5592994604
103,3.0,1.5,45,20.0317945783
104,3.0,1.5,45,19.1538456036
105,4.0,2.0,45,18.9887563177
106,5.0,2.5,45,18.9992228422
107,6.0,3.0,45,19.6095856823
108,6.0,3.0,45,18.5896533588
109,7.0,3.5,45,18.5599231552
110,8.0,4.0,45,18.5433255681
111,9.0,4.5,45,18.4001416856
112,10.0,5.0,45,18.4081297034
1000,0.0,0.0,345,21.2098167661
1000,0.0,0.0,15,21.2098167661
1000,0.0,0.0,45,21.2098167661
1000,0.0,0.0,315,21.2098167661
1000,0.0,0.0,285,21.2098167661
1000,0.0,0.0,255,21.2098167661
