Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
?202211011h1bzcn3oye65f7oyyb96sptcr,432846061,144.8321991,-37.66540146,1/11/2022 0:50,12.9,,4.1,,,7.7,14.3,,,,991.3,,55,0,0,,10,315,20,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221101n98j1m43tre65f71yyb96sc5ar,432846061,144.8321991,-37.66540146,1/11/2022 1:50,7.9,,5.7,,,7.7,14.3,,,,992.1,,86,0,0.6,,14,247.5,25,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221101pu6n5e431re65f7oyyb96sptcr,432846061,144.8321991,-37.66540146,1/11/2022 2:50,8.9,,6.2,,,7.7,14.3,,,,992.4,,83,0,1,,7,315,25,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
202211013ngdgkn3ure65f7oyyb96sptcr,432846061,144.8321991,-37.66540146,1/11/2022 3:50,9.8,,6.7,,,7.7,14.3,,,,991.9,,81,0,1.2,,8,292.5,25,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
202211018bsdbhk3wee65f71yyb96sc5ar,432846061,144.8321991,-37.66540146,1/11/2022 4:50,7.4,,4.9,,,7.7,14.3,,,,992.7,,84,0,1.8,,17,225,28,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
2022110118tp8g43iee65f7oyyb96sptcr,432846061,144.8321991,-37.66540146,1/11/2022 5:50,10.9,,5,,,7.7,14.3,,,,992.4,,67,0,1.8,,13,247.5,28,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
202211017bzra413see65f7oyyb96sptcr,432846061,144.8321991,-37.66540146,1/11/2022 6:50,11.2,,4.7,,,7.7,14.3,,,,993.6,,64,0,1.8,,18,225,34,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221101mhqpffk3zce65f71yyb96sc5ar,432846061,144.8321991,-37.66540146,1/11/2022 7:50,9.6,,4.8,,,8.5,14.3,,,,994.9,,72,0,1.8,,12,225,34,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221101aq3rb413ace65f7oyyb96sptcr,432846061,144.8321991,-37.66540146,1/11/2022 8:50,8.6,,3.2,,,8.5,14.3,,,,995.9,,69,0,1.8,,13,247.5,34,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221101epcp41133oe65f7oyyb96sptcr,432846061,144.8321991,-37.66540146,1/11/2022 9:50,7.7,,3,,,7.4,14.3,,,,997.5,,72,0,1.8,,15,270,34,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
202211015axwub435oe65f71yyb96sc5ar,432846061,144.8321991,-37.66540146,1/11/2022 11:50,6.7,,3.5,,,6.1,14.3,,,,999.5,,80,0,1.8,,10,270,34,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221101py3taik3hwe65f7oyyb96smhca,432846061,144.8321991,-37.66540146,1/11/2022 12:50,5.6,,2.9,,,5.6,14.3,,,,1000,,83,0,1.8,,12,270,34,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221101aebrna137we65f7oyyb96sptcr,432846061,144.8321991,-37.66540146,1/11/2022 13:50,5.8,,3,,,5.6,14.3,,,,1000.6,,82,0,1.8,,14,270,17,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221101ycdr3i136ae65f7oyyb96sptcr,432846061,144.8321991,-37.66540146,1/11/2022 14:50,6,,2.8,,,5.6,14.3,,,,1001.3,,80,0,1.8,,12,270,18,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221101m6zu1dk39ae65f7oyyb96smhca,432846061,144.8321991,-37.66540146,1/11/2022 15:50,5.7,,2.9,,,5.6,14.3,,,,1001.7,,82,0,1.8,,15,270,18,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
202211014u381ik4yae65f7oyyb96sptcr,432846061,144.8321991,-37.66540146,1/11/2022 16:50,5.9,,2.9,,,5.6,14.3,,,,1002.4,,81,0,1.8,,14,270,19,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221101gz4s6rk4bhe65f7oyyb96smhca,432846061,144.8321991,-37.66540146,1/11/2022 17:50,5.5,,2.7,,,5.3,14.3,,,,1003.1,,82,0,1.8,,12,270,19,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221101whzxrik4nhe65f7oyyb96smhca,432846061,144.8321991,-37.66540146,1/11/2022 18:50,5.1,,2.6,,,5.1,14.3,,,,1003.7,,84,0,1.8,,9,270,19,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
202211016qcqid44dhe65f7oyyb96smhca,432846061,144.8321991,-37.66540146,1/11/2022 19:50,5.5,,2.8,,,5.1,5.8,,,,1004.9,,83,0,1.8,,10,292.5,19,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221101qabrmc14fye65f7oyyb96smhca,432846061,144.8321991,-37.66540146,1/11/2022 20:50,8.1,,4.1,,,5.1,8.1,,,,1005.9,,76,0,1.8,,14,270,19,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
