Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿20221201wyfxf7utnce65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2022-12-01 00:50:00,16.6,,10.2,,,12.2,17.4,,,,1018.5,,66,0.0,0.0,,11.0,180.0,18.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_dec.csv
20221201brcdfz5tdoe65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2022-12-01 01:50:00,17.3,,11.3,,,12.2,17.6,,,,1018.3,,68,0.0,0.0,,10.0,202.5,18.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_dec.csv
20221201k3e61h5troe65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2022-12-01 02:50:00,17.8,,10.9,,,12.2,18.6,,,,1018.0,,64,0.0,0.0,,14.0,180.0,19.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_dec.csv
20221201b4bw7gmtfwe65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2022-12-01 03:50:00,17.8,,10.4,,,12.2,18.9,,,,1017.8,,62,0.0,0.0,,16.0,157.5,19.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_dec.csv
20221201jqgz4nutgwe65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2022-12-01 04:50:00,17.6,,9.8,,,12.2,18.9,,,,1017.6,,60,0.0,0.0,,14.0,180.0,19.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_dec.csv
20221201towmoeut8we65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2022-12-01 05:50:00,17.7,,10.8,,,12.2,18.9,,,,1017.5,,64,0.0,0.0,,17.0,180.0,20.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_dec.csv
20221201hd1djhdtewe65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2022-12-01 06:50:00,16.9,,10.1,,,12.2,18.9,,,,1017.5,,64,0.0,0.0,,14.0,180.0,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_dec.csv
20221201oom3osutjae65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2022-12-01 07:50:00,16.0,,9.2,,,15.8,18.9,,,,1017.8,,64,0.0,0.0,,12.0,180.0,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_dec.csv
20221201upuwkgdtkae65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2022-12-01 08:50:00,14.6,,9.2,,,14.6,18.9,,,,1018.2,,70,0.0,0.0,,11.0,180.0,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_dec.csv
20221201nt31muutmhe65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2022-12-01 09:50:00,13.2,,8.7,,,13.1,18.9,,,,1018.5,,74,0.0,0.0,,8.0,180.0,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_dec.csv
