Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿20230101ajhdeehjphe65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2023-01-01 00:50:00,31.4,,17.7,,,16.1,31.7,,,,1010.0,,44,0.0,0.0,,18.0,22.5,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
20230101gn4673cjxye65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2023-01-01 01:50:00,32.4,,17.8,,,16.1,32.6,,,,1009.7,,41,0.0,0.0,,11.0,22.5,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
20230101tbmc89cjoye65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2023-01-01 02:50:00,33.4,,16.3,,,16.1,33.7,,,,1009.1,,36,0.0,0.0,,9.0,,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
20230101hm48ytcjtye65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2023-01-01 03:50:00,34.6,,16.0,,,16.1,34.9,,,,1008.4,,33,0.0,0.0,,11.0,22.5,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
20230101mkwrcgrj1re65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2023-01-01 04:50:00,33.5,,13.5,,,16.1,34.9,,,,1007.8,,29,0.0,0.0,,7.0,315.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
202301011myeeqcjure65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2023-01-01 05:50:00,34.0,,16.4,,,16.1,35.1,,,,1007.1,,35,0.0,0.0,,5.0,22.5,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
20230101bohtt7cjwee65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2023-01-01 06:50:00,33.8,,15.3,,,16.1,35.1,,,,1006.5,,33,0.0,0.0,,11.0,22.5,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
20230101pzh8grrjiee65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2023-01-01 07:50:00,34.4,,14.8,,,33.6,35.1,,,,1006.2,,30,0.0,0.0,,13.0,22.5,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
202301013nz4n9hjsee65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2023-01-01 08:50:00,32.2,,15.7,,,32.2,35.1,,,,1006.2,,37,0.0,0.0,,9.0,0.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
20230101e8ukb6wjzce65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2023-01-01 09:50:00,29.3,,15.4,,,29.1,35.1,,,,1006.4,,42,0.0,0.0,,8.0,22.5,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
20230101oituhsrjace65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2023-01-01 10:50:00,27.0,,16.0,,,27.0,35.1,,,,1006.7,,51,0.0,0.0,,8.0,45.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
202301017eu5kdhj3ce65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2023-01-01 11:50:00,27.1,,16.1,,,26.5,35.1,,,,1006.7,,51,0.0,0.0,,9.0,22.5,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
20230101mo8nsghj4oe65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2023-01-01 12:50:00,27.3,,15.6,,,25.3,35.1,,,,1006.7,,48,0.0,0.0,,11.0,0.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
20230101aejys5rj5oe65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2023-01-01 13:50:00,27.4,,15.1,,,25.3,35.1,,,,1007.5,,47,0.0,0.0,,4.0,67.5,17.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
2023010187um7swjhwe65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2023-01-01 14:50:00,25.4,,15.4,,,25.0,35.1,,,,1007.2,,54,0.0,0.0,,9.0,67.5,17.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
20230101qgeb8wrj7we65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2023-01-01 15:50:00,24.0,,15.8,,,23.8,35.1,,,,1006.6,,60,0.0,0.0,,9.0,22.5,17.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
202301016ui799rj6we65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2023-01-01 16:50:00,25.8,,16.1,,,23.8,35.1,,,,1005.6,,55,0.0,0.0,,15.0,22.5,18.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
20230101ekc3bohj9ae65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2023-01-01 17:50:00,26.2,,15.6,,,23.8,35.1,,,,1005.2,,52,0.0,0.0,,21.0,22.5,30.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
202301011dtwberkyae65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2023-01-01 18:50:00,25.6,,15.9,,,23.8,35.1,,,,1005.4,,55,0.0,0.0,,24.0,22.5,33.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
20230101gmgbmewkbhe65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2023-01-01 19:50:00,25.1,,16.3,,,23.8,25.5,,,,1005.5,,58,0.0,0.0,,25.0,0.0,39.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
20230101k4qx1irknhe65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2023-01-01 20:50:00,26.0,,16.5,,,23.8,26.0,,,,1005.5,,55,0.0,0.0,,33.0,0.0,40.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
202301013x7t7fwkdhe65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2023-01-01 21:50:00,25.9,,16.7,,,23.8,26.7,,,,1006.1,,57,0.0,0.0,,30.0,0.0,45.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
20230101rc5ri1hkfye65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2023-01-01 22:50:00,26.6,,16.8,,,23.8,27.0,,,,1005.5,,55,0.0,0.0,,29.0,22.5,45.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
20230101tipia7rkgye65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2023-01-01 23:50:00,28.1,,17.6,,,23.8,28.3,,,,1006.1,,53,0.0,0.0,,20.0,0.0,45.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
﻿2023010263euqfhk8ye65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2023-01-02 00:50:00,29.5,,18.0,,,23.8,29.9,,,,1006.8,,50,0.0,0.0,,21.0,22.5,45.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
20230102kte3itckere65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2023-01-02 01:50:00,31.1,,18.1,,,23.8,31.3,,,,1006.4,,46,0.0,0.0,,20.0,0.0,45.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
20230102wkqqnhhkjre65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2023-01-02 02:50:00,31.3,,18.3,,,23.8,32.0,,,,1006.1,,46,0.0,0.0,,19.0,0.0,45.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_jan.csv
