buffer_id,buffer_no,direction,lst_mean
1,0,285,37.0654925603
2,2,285,36.5573841376
3,3,285,36.5206228979
4,4,285,36.5182772665
5,5,285,36.5680506521
6,6,285,36.5347633428
7,7,285,37.0972364642
8,8,285,36.6535110807
9,9,285,36.3186568229
10,10,285,36.8557891478
11,11,285,37.4230080887
12,12,285,37.7101668664
13,13,285,37.6589769955
14,14,285,37.3306453402
15,15,285,37.8521279534
16,16,285,38.7611761891
17,17,285,39.7473530715
18,1,285,37.2057019431
19,0,315,36.9343290946
20,2,315,34.6972648001
21,3,315,35.0375252721
22,4,315,34.3521468923
23,5,315,34.7176682412
24,6,315,34.9853455378
25,7,315,35.2578860775
26,8,315,35.4029392511
27,9,315,35.7091468455
28,10,315,36.0929790696
29,11,315,36.2029494714
30,12,315,35.9352242243
31,13,315,35.5421759777
32,14,315,35.689838884
33,15,315,36.0466052707
34,16,315,35.7248945195
35,17,315,36.0525599221
36,18,315,35.9703383431
37,19,315,36.18825092
38,20,315,36.6030377582
39,21,315,36.5816658269
40,22,315,36.1634175307
41,23,315,35.731419568
42,24,315,35.3535963317
43,25,315,35.0196544167
44,26,315,34.7180095801
45,27,315,34.8623003199
46,28,315,35.4131311495
47,29,315,35.1089714227
48,30,315,34.9855140483
49,31,315,33.8878568242
50,1,315,35.2723294071
51,0,345,35.9198451941
52,2,345,33.0103427179
53,3,345,32.9099466162
54,4,345,32.8126102973
55,5,345,32.8025249852
56,6,345,32.8102020022
57,7,345,33.1467952835
58,8,345,33.0158494726
59,9,345,33.1323627622
60,10,345,33.5022012919
61,11,345,32.9607259572
62,12,345,32.5496366215
63,13,345,32.3984642909
64,14,345,33.4248296774
65,15,345,33.8868842385
66,16,345,34.3816796516
67,17,345,34.169299049
68,18,345,34.6536403444
69,19,345,34.7697857651
70,20,345,35.5432417551
71,21,345,37.3048909883
72,1,345,33.5609477578
